customer_id,txn_date,txn_type,txn_amount
429,21-01-2020,deposit,82
155,10-01-2020,deposit,712
398,01-01-2020,deposit,196
255,14-01-2020,deposit,563
185,29-01-2020,deposit,626
309,13-01-2020,deposit,995
312,20-01-2020,deposit,485
376,03-01-2020,deposit,706
188,13-01-2020,deposit,601
138,11-01-2020,deposit,520
373,18-01-2020,deposit,596
361,12-01-2020,deposit,797
169,10-01-2020,deposit,628
402,05-01-2020,deposit,435
60,19-01-2020,deposit,495
378,07-01-2020,deposit,193
383,26-01-2020,deposit,889
292,10-01-2020,deposit,136
63,06-01-2020,deposit,234
499,02-01-2020,deposit,147
130,02-01-2020,deposit,557
441,12-01-2020,deposit,418
53,24-01-2020,deposit,22
30,26-01-2020,deposit,33
305,09-01-2020,deposit,36
136,11-01-2020,deposit,882
276,07-01-2020,deposit,926
410,07-01-2020,deposit,601
152,01-01-2020,deposit,917
123,16-01-2020,deposit,423
17,19-01-2020,deposit,465
472,18-01-2020,deposit,495
100,06-01-2020,deposit,158
56,18-01-2020,deposit,864
455,07-01-2020,deposit,329
357,20-01-2020,deposit,780
480,29-01-2020,deposit,522
168,13-01-2020,deposit,114
369,25-01-2020,deposit,376
338,17-01-2020,deposit,628
296,13-01-2020,deposit,846
374,08-01-2020,deposit,117
194,28-01-2020,deposit,137
135,09-01-2020,deposit,949
21,12-01-2020,deposit,28
69,10-01-2020,deposit,124
32,12-01-2020,deposit,812
206,09-01-2020,deposit,811
269,14-01-2020,deposit,654
460,29-01-2020,deposit,80
328,22-01-2020,deposit,393
407,14-01-2020,deposit,804
351,03-01-2020,deposit,951
458,04-01-2020,deposit,715
339,10-01-2020,deposit,167
496,06-01-2020,deposit,47
291,20-01-2020,deposit,930
50,29-01-2020,deposit,899
265,08-01-2020,deposit,699
266,17-01-2020,deposit,651
93,11-01-2020,deposit,557
1,02-01-2020,deposit,312
267,19-01-2020,deposit,31
366,21-01-2020,deposit,965
92,05-01-2020,deposit,985
89,25-01-2020,deposit,210
129,12-01-2020,deposit,568
198,17-01-2020,deposit,571
26,17-01-2020,deposit,878
104,25-01-2020,deposit,989
466,17-01-2020,deposit,80
454,08-01-2020,deposit,603
117,15-01-2020,deposit,5
46,23-01-2020,deposit,356
96,03-01-2020,deposit,753
199,20-01-2020,deposit,530
55,25-01-2020,deposit,380
443,28-01-2020,deposit,760
317,11-01-2020,deposit,869
52,12-01-2020,deposit,908
249,14-01-2020,deposit,336
122,29-01-2020,deposit,397
59,20-01-2020,deposit,924
36,30-01-2020,deposit,149
74,13-01-2020,deposit,229
238,18-01-2020,deposit,896
334,15-01-2020,deposit,933
143,29-01-2020,deposit,807
406,26-01-2020,deposit,795
465,28-01-2020,deposit,955
230,21-01-2020,deposit,675
487,15-01-2020,deposit,39
346,21-01-2020,deposit,916
356,11-01-2020,deposit,568
142,16-01-2020,deposit,517
81,25-01-2020,deposit,403
128,26-01-2020,deposit,410
205,02-01-2020,deposit,608
380,03-01-2020,deposit,487
387,22-01-2020,deposit,180
95,03-01-2020,deposit,19
388,09-01-2020,deposit,833
91,11-01-2020,deposit,856
144,14-01-2020,deposit,559
68,20-01-2020,deposit,574
475,03-01-2020,deposit,552
247,01-01-2020,deposit,930
120,23-01-2020,deposit,824
500,16-01-2020,deposit,227
384,12-01-2020,deposit,352
