OrderId,RestaurantName,RestaurantType,Rating,No.of.Rating,AverageCost,OnlineOrder,TableBooking,CuisinesType,Area,LocalAddress,Delivery time
1,L-81 Cafe,Quick Bites,3.9,48,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR,59
2,refuel,Cafe,3.7,37,400,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,56
3,Biryani Central,Casual Dining,2.7,135,550,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,50
4,The Bbq,Casual Dining,2.8,40,700,Yes,No,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,57
5,The Bbq,"Takeaway, Delivery",3.4,37,200,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,63
6,Italy,Casual Dining,4.1,305,700,Yes,No,Italian,Banashankari,Kumaraswamy Layout,56
7,North Parontha Hut,"Takeaway, Delivery",2.8,40,300,No,No,North Indian,Indiranagar,Old Airport Road,53
8,1000 B.C,Quick Bites,3.2,49,300,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,57
9,1Q1,Casual Dining,3.7,41,450,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,57
10,11 to 11 Express Biriyanis,Quick Bites,3.5,22,300,Yes,No,"Biryani, Kebab",Electronic City,Electronic City,57
11,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,56
12,12th Main - Grand Mercure,Fine Dining,4.1,353,2000,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,55
13,1441 Pizzeria,Casual Dining,4.1,119,800,Yes,No,"Pizza, Salad",Basavanagudi,JP Nagar,54
14,1522 - The Pub,Pub,4.2,1731,1400,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,48
15,154 Breakfast Club,Cafe,4,1509,900,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,59
16,1722 Urban Bistro,Casual Dining,4.1,218,600,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,52
17,18+ Ice Cafe,Cafe,3.5,24,550,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,55
18,States,Casual Dining,3.9,620,1000,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,55
19,1980s Games Cafe,Cafe,3.4,58,400,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,48
20,1992 Chats - Space,Quick Bites,3.7,33,200,Yes,No,Street Food,Malleshwaram,Rajajinagar,90
21,1Q1,"Casual Dining, Bar",4.3,595,2500,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,54
22,1TO3 Kitchen,Delivery,3.1,11,800,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,53
